"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.22427488756458e-76,-4.80525085496419,0.145,0.592,4.60447144474744e-72,"SLC22A7"
2.45964312974074e-76,1.63180351668591,1,0.915,5.09170724287631e-72,"AHSG"
2.82376582424775e-76,-3.64567283568,0.3,0.754,5.84547763277526e-72,"IGKC"
3.96967950992596e-76,1.91064729846695,0.968,0.607,8.21763355349773e-72,"RAN"
4.29049162634749e-76,1.33393989253721,0.992,0.801,8.88174671570195e-72,"NDUFA2"
4.71247880131461e-76,1.98728002962422,1,0.664,9.75530236660137e-72,"CYP2E1"
4.73585293514173e-76,-2.95629501803772,0.693,0.905,9.80368916103689e-72,"ID2"
1.20965834873144e-75,-3.58414162269852,0.518,0.848,2.50411374770895e-71,"TXNIP"
1.3127251261838e-75,1.92915249140198,0.964,0.531,2.71747228371308e-71,"TUBA1B"
1.71168731090153e-75,1.26359207931208,0.993,0.829,3.54336390229725e-71,"CUTA"
1.91959938552844e-75,0.933581542512575,1,1,3.97376268798242e-71,"RPL32"
6.67395945696031e-75,1.16888034119171,1,0.938,1.38157634718535e-70,"PRDX1"
8.18693745320366e-75,-4.24843184160016,0.339,0.777,1.69477792218769e-70,"EGR1"
1.1403324508521e-74,1.11732959488032,1,0.981,2.36060220650893e-70,"RPL36A"
1.1807095946546e-74,-3.64997933612357,0.72,0.915,2.44418693189448e-70,"FABP1"
1.56259389179371e-74,2.16275743375161,0.938,0.436,3.23472561540216e-70,"C8orf59"
1.67213306921263e-74,1.82708109537323,0.95,0.559,3.46148266657706e-70,"CISD3"
1.71258054893739e-74,1.17821240589288,1,0.957,3.54521299435529e-70,"RPL5"
4.08288442474332e-74,-1.32469758470349,0.996,0.967,8.45197904766116e-70,"RARRES2"
5.68735039969254e-74,1.45433797934966,0.995,0.806,1.17733840624035e-69,"ALDH1A1"
9.71720813679334e-74,-2.82069067475197,0.618,0.872,2.01155925639759e-69,"SRGN"
3.84006879154875e-73,1.27528015593758,0.996,0.848,7.94932640538507e-69,"TMA7"
4.74217345594483e-73,1.16388258161495,1,0.919,9.81677327115139e-69,"RPS3A"
7.38798529233314e-73,2.37411001969097,0.914,0.374,1.52938683536588e-68,"OSGIN1"
1.00664111329274e-72,-4.32757772708597,0.13,0.559,2.08384776862729e-68,"TMEM220"
1.44179183459258e-72,2.27814984685832,0.926,0.341,2.9846532767901e-68,"ADIRF"
1.92185796323485e-72,-1.8044537203333,0.899,0.948,3.97843816969246e-68,"CTSD"
7.79278635418266e-72,2.11763284467974,0.913,0.403,1.61318470317935e-67,"MRPL27"
1.01822399127565e-71,2.00584468847665,0.949,0.687,2.10782548433972e-67,"MTDH"
1.24582379188526e-71,1.75126926798291,0.956,0.592,2.57897983158167e-67,"NOP10"
1.53797872787807e-71,2.6029280349987,0.86,0.299,3.18376976458039e-67,"PSMD3"
2.74682403511766e-71,1.69177823024525,0.96,0.607,5.68620043509708e-67,"SNHG8"
3.79711574741594e-71,-5.6576262829643,0.018,0.27,7.86040930872573e-67,"CCL2"
3.86653023961854e-71,2.92768731796124,0.863,0.218,8.00410424903433e-67,"SCD"
4.88342642322986e-71,1.37359999342065,0.987,0.749,1.01091810387281e-66,"NDUFS6"
5.12769949949671e-71,-2.6941957836585,0.998,0.986,1.06148507339081e-66,"TTR"
6.11975768548124e-71,1.35525849455701,0.982,0.739,1.26685103847147e-66,"PARK7"
7.76492372129348e-71,-1.35458172677988,1,0.981,1.60741685954496e-66,"AMBP"
8.64111898885254e-71,3.54327407461509,0.802,0.114,1.78879804188236e-66,"PYCARD"
2.1791043910717e-70,1.63506256307603,1,0.825,4.51096399995752e-66,"HULC"
4.11064707860544e-70,5.63746020009725,0.745,0.028,8.50945051742111e-66,"CYP17A1"
5.87718348331948e-70,1.63144517362395,0.969,0.645,1.21663575288197e-65,"SDC2"
