"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.3250404021661e-49,-2.66269187373882,0.436,0.656,2.74296613652405e-45,"PON3"
8.53084729890159e-68,-2.66227108570162,0.52,0.764,1.76597069934562e-63,"CREM"
6.22219239467694e-16,-2.66101875536517,0.129,0.276,1.28805604762207e-11,"GZMK"
3.70272801447416e-20,-2.65920380251928,0.107,0.267,7.66501726276296e-16,"ADGRV1"
4.00495693604529e-83,-2.65697305740523,0.502,0.791,8.29066135330735e-79,"SERPINA4"
1.08645648620762e-103,-2.65557828064669,0.998,0.988,2.2490735720984e-99,"TTR"
9.50292930601924e-16,-2.65218029021115,0.173,0.316,1.96720139563904e-11,"WHSC1L1"
3.17026467087732e-32,-2.65012595976171,0.353,0.552,6.56276489518314e-28,"SPP2"
1.11619792726682e-92,-2.64974790445589,0.616,0.847,2.31064132923504e-88,"AADAC"
2.44832904992661e-15,-2.64969591312136,0.166,0.31,5.06828596625308e-11,"F9"
1.34477704741282e-15,-2.64777945162688,0.165,0.313,2.78382296584928e-11,"TRBC2"
3.33229975488217e-30,-2.64072972517546,0.22,0.439,6.89819372258157e-26,"PER1"
3.79797683166152e-27,-2.63454773883582,0.22,0.423,7.8621918392225e-23,"RDH10"
7.51356579163163e-14,-2.62863813642813,0.129,0.261,1.55538325452566e-09,"PLK3"
1.15820760783062e-20,-2.62400963229795,0.196,0.374,2.39760556897016e-16,"SKIL"
9.21917780750311e-22,-2.61646113784029,0.153,0.334,1.90846199793122e-17,"CLEC2B"
2.10196125534865e-69,-2.61399172901654,0.444,0.727,4.35126999469724e-65,"CD302"
6.97631179621614e-46,-2.60622425833547,0.323,0.592,1.4441663049347e-41,"HABP2"
7.69372220384104e-09,-2.60334614955382,0.165,0.267,0.000159267743341713,"CD7"
3.7274969142995e-16,-2.58980809181906,0.127,0.27,7.71629136229140e-12,"HPS5"
9.16722908924686e-28,-2.58570688365173,0.298,0.494,1.89770809376499e-23,"NFKBIZ"
6.93719735140114e-28,-2.58557327593392,0.139,0.347,1.43606922371355e-23,"SLC6A1"
3.49471919363861e-22,-2.58227125075333,0.136,0.313,7.23441820275129e-18,"ERO1B"
5.74581550946975e-24,-2.58173272404871,0.124,0.31,1.18944126861533e-19,"UBXN8"
5.27524646915025e-22,-2.57317663574735,0.154,0.337,1.09202877157879e-17,"TSPYL2"
6.53449255074689e-12,-2.56721646347731,0.233,0.356,1.35270530293011e-07,"ICAM1"
1.73094024634188e-66,-2.56112806460159,0.601,0.794,3.58321940395232e-62,"HSPH1"
1.56643140906461e-50,-2.55988963894988,0.377,0.641,3.24266965990465e-46,"LEPROTL1"
1.43673779623366e-16,-2.55123538108755,0.126,0.273,2.97419091198330e-12,"SLC17A2"
2.24872860518912e-24,-2.54980086873082,0.374,0.546,4.655093085602e-20,"NNMT"
1.6729520245234e-11,-2.53664379247097,0.188,0.304,3.46317798596588e-07,"OLFM2"
1.37014445346864e-17,-2.52877599083929,0.214,0.374,2.83633603312542e-13,"COTL1"
5.89356548459738e-125,-2.51561864518199,0.899,0.936,1.2200269909665e-120,"CFHR1"
7.01996704180929e-28,-2.51011628134508,0.221,0.439,1.45320337732494e-23,"MS4A6A"
2.80161089533208e-101,-2.50616774407185,0.976,0.942,5.79961471442694e-97,"ORM1"
1.45467361976472e-18,-2.48338487931861,0.112,0.27,3.01131986027495e-14,"GLIPR1"
6.13793195182789e-19,-2.48204231343693,0.143,0.307,1.27061329334789e-14,"ATP6V1B2"
2.81608843233058e-66,-2.48183070216439,0.602,0.813,5.82958466376754e-62,"SAA4"
1.28657369630553e-11,-2.4807547489122,0.157,0.276,2.66333620872207e-07,"MAF"
1.03188294865437e-19,-2.47746383295704,0.274,0.436,2.13610089200941e-15,"TACC1"
3.06650099674476e-13,-2.46910943224642,0.132,0.264,6.34796371336132e-09,"GNE"
1.53823345166428e-13,-2.46747443822439,0.15,0.285,3.18429706829023e-09,"LCP1"
5.48689167027699e-25,-2.46512717220993,0.167,0.368,1.13584144466404e-20,"GPLD1"
5.95563485950679e-12,-2.45247714735906,0.147,0.27,1.2328759722665e-07,"SYNPO"
6.72892514842379e-38,-2.44308668882207,0.32,0.555,1.39295479497521e-33,"LMBRD1"
2.18439758634725e-55,-2.44096681599351,0.72,0.84,4.52192144349745e-51,"TIMP1"
3.38694204347141e-09,-2.43442234653954,0.199,0.298,7.01130872419017e-05,"SLC25A37"
2.43421216357032e-21,-2.43430513085722,0.194,0.374,5.03906259980692e-17,"RND1"
1.3584685474343e-23,-2.43147942646689,0.179,0.371,2.81216574004375e-19,"CNKSR3"
3.62235447872765e-57,-2.42972969197628,0.546,0.739,7.4986360064141e-53,"DHRS7"
1.27570955067289e-10,-2.41960502237466,0.244,0.35,2.64084634084795e-06,"RBM23"
2.61200516729593e-90,-2.41650508281492,0.709,0.862,5.4071118968193e-86,"SERPINF2"
1.14297955538373e-10,-2.41448900496353,0.272,0.374,2.36608197759986e-06,"CNOT6L"
5.63027780501824e-93,-2.41150586681049,0.678,0.859,1.16552380841683e-88,"PHYH"
7.10331708149062e-10,-2.40486079363032,0.147,0.255,1.47045766903937e-05,"PARD6G-AS1"
1.30600765210907e-55,-2.39550281397439,0.528,0.73,2.703566440631e-51,"AGPAT2"
2.78792503375792e-73,-2.39311031834161,0.613,0.822,5.77128361238228e-69,"GADD45B"
7.29402154997962e-22,-2.39180668951983,0.223,0.405,1.50993540106128e-17,"TMEM45A"
8.49608157673615e-23,-2.39070106996988,0.207,0.396,1.75877384720015e-18,"GNAQ"
