"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.73925948676787e-200,1.26358139223992,0.866,0.403,7.74064106355817e-196,"0","AIG1"
4.23424471930456e-200,1.24501193100297,0.804,0.33,8.76530999343237e-196,"0","TSPAN6"
6.57725281895625e-200,1.81508633521588,0.607,0.183,1.36155710605213e-195,"0","RP4-665J23.1"
1.16557813514616e-199,1.19582529385441,0.879,0.425,2.41286329756606e-195,"0","ALDH2"
1.74145321755703e-199,1.17868286234949,0.939,0.447,3.60498230566481e-195,"0","C17orf89"
2.52573785843752e-199,1.29443651939909,0.855,0.369,5.22852994075151e-195,"0","MRPL40"
2.63207807702059e-199,1.05199179003646,0.963,0.574,5.44866482724033e-195,"0","NDUFC2"
4.26731393416736e-199,1.68378567616027,0.591,0.174,8.83376657511986e-195,"0","RP11-140K17.3"
4.37165727410153e-199,1.39897751122239,0.746,0.268,9.04976772311758e-195,"0","ZCCHC9"
5.16365329706313e-199,1.17153555543417,0.903,0.448,1.06892786902504e-194,"0","C1S"
4.75395967966362e-198,1.19868120121251,0.851,0.371,9.84117193287166e-194,"0","HRSP12"
5.51565085251907e-198,1.26843703358564,0.835,0.385,1.14179488297997e-193,"0","AZGP1"
8.395511799708e-198,1.59020553571378,0.688,0.258,1.73795489765755e-193,"0","AOX1"
2.57711857702116e-197,1.18180016398871,0.824,0.352,5.3348931662915e-193,"0","IGFBP2"
3.41533272296633e-197,1.50242245139292,0.693,0.241,7.0700802698126e-193,"0","SYBU"
3.98882788375219e-197,1.07159806750005,0.968,0.461,8.25727260215541e-193,"0","KRT8"
8.67177065776253e-197,1.22463381884461,0.88,0.387,1.79514324386342e-192,"0","PFDN6"
1.43499542287778e-196,1.29818216007886,0.814,0.315,2.9705840248993e-192,"0","MRPS23"
1.81681395258238e-196,1.28530372990917,0.852,0.373,3.76098656324078e-192,"0","MRPL24"
2.91451899486193e-196,1.14100077138693,0.748,0.269,6.03334577126368e-192,"0","SKAP1"
2.48923880241829e-195,1.86062119994921,0.472,0.113,5.1529732448861e-191,"0","TTC36"
1.27543583553368e-194,0.962027156754536,0.992,0.654,2.64027972313828e-190,"0","ATP5G3"
3.40015221655277e-193,1.33074372311426,0.727,0.29,7.0386551034859e-189,"0","CYP4F3"
4.78646378161473e-193,1.27591163563407,0.834,0.341,9.90845867432064e-189,"0","GPS1"
5.92736281188687e-193,1.39385842464901,0.719,0.258,1.2270233756887e-188,"0","ARL4D"
6.61224732516238e-193,0.707727673401013,0.999,0.815,1.36880131878186e-188,"0","IFITM3"
7.2315760458058e-193,1.47345919695485,0.738,0.288,1.49700855724226e-188,"0","HMGCL"
1.45973488110247e-192,2.7074557096941,0.395,0.078,3.02179717737022e-188,"0","GSTA3"
3.1969023183452e-192,1.40099139352131,0.725,0.253,6.61790748920639e-188,"0","TMEM99"
6.07960813163607e-192,1.22145397380016,0.86,0.352,1.25853967932998e-187,"0","GCSH"
1.04043732405987e-191,1.0400236049332,0.974,0.617,2.15380930453633e-187,"0","COPE"
1.25831552315545e-191,1.41143805634449,0.785,0.316,2.6048389644841e-187,"0","ACOT13"
2.98835393463498e-191,1.17340179260183,0.892,0.455,6.18619148008788e-187,"0","HSD17B10"
